word,x_coord,y_coord,word_count,rank
waihoki,-1.3816541000000002,-0.16186151,216,565
mātua,4.260950599999998,-1.3277316,215,566
pakanga_tuarua,-0.14668043,0.13688648,215,567
rangitāne,4.083482,0.5955715,215,568
wherowhero,1.7527102,-1.7672404,215,569
tangihanga,0.5025390000000001,0.9087222,213,570
whakaaturanga,-1.5057656,-3.7335706,212,571
uniana,0.0005243623,-3.2926705000000003,212,572
māra,-1.441072,3.1984591,211,573
mīhana,1.8750435,-2.7982335,211,574
tumuaki,0.33733043,-3.0871043,211,575
whaikōrero,-0.98314595,-3.4533963,211,576
ōtākou,2.0242312,2.4838088,209,577
tohua,-0.122393884,-1.7674063000000002,209,578
hēkeretari,0.356511,-3.1013114,209,579
whakarongo,-0.9190417,-3.3591683,208,580
harakeke,-1.419093,3.0528307,207,581
muri_iho,0.60526484,-0.61863106,207,582
kia_kaua,-1.5799233,-0.80079067,206,583
teina,3.7660978,-1.7858819,206,584
tāia,-2.136695,-4.0492506,206,585
utua,-3.8300066,-0.58929414,206,586
whakahoki,-1.0229309000000002,-0.29825643,205,587
kawea,-0.7348885000000001,-0.15428206,204,588
toro,0.01935317,-0.07610655,204,589
whakamātau,-1.4487783,-1.0535487,204,590
pae,1.0281284,2.5034723,203,591
tohe,-1.9375366000000005,-1.3429577,203,592
neke,0.0067209033,0.0029578826,203,593
kararehe,-2.153035,2.4843636,202,594
kāwhia,3.2413664,1.6854183999999997,202,595
karangatia,-0.16128907,-0.85414493,202,596
hōtaka,-1.5493957,-3.6267118,202,597
pito,-0.55631816,2.1616185000000003,201,598
māmā,-1.6722783,0.4567268,200,599
ono,-3.1882493,1.1359883999999998,200,600
wharenui,0.15684524,2.8972645,200,601
whakaputa,-1.8484347,-4.089102,199,602
inarā,-0.8243790000000001,-1.0731636,198,603
kupe,0.50358105,1.7277097,198,604
tango,-1.3725396,-0.2648625,197,605
ō_rātau,0.34530446,-0.9000754999999999,197,606
painga,-2.4136782,-0.87956166,196,607
hauraki,2.803685,2.4696786,196,608
ngāti_awa,3.9669628,0.1005797,196,609
rapu,-2.2573879,-0.32003176,195,610
kuhu,-0.33324808,-0.07790343,195,611
pirimia,1.1273173,-2.8464,194,612
mehemea,-1.5707002,-0.6408084,194,613
maori,-1.7754602,-4.704943,193,614
mere,3.7595181,-2.0926342,193,615
hokonga,-3.870268,-1.0361099,193,616
tiamana,0.3905562,-3.2340212000000004,193,617
tuhia,-2.0576158,-4.0826044,192,618
wehenga,-0.2360906,0.3509035,192,619
rangatahi,-0.48500714,-2.5521586,192,620
ngākau,-1.2088343,-1.7937637999999998,191,621
aroaro,-4.0453176,-1.9259473000000005,191,622
reta,-1.9703704,-4.159763,191,623
hīkoi,-0.10068349,-0.13618158,190,624
eruera,2.3754508,-2.941489,189,625
tō_rātau,0.39296508,-0.99555457,189,626
kiri,-0.97958356,2.795511,188,627
taitara,-3.8780394,-0.8981129000000001,188,628
here,-1.7199444,-0.17388655,188,629
whakakotahi,-2.336502,-1.8524436,188,630
kōiwi,-0.61667746,2.4885387000000003,187,631
mākarini,1.8950502,-1.7266068,187,632
taumata,-0.61869276,-2.4267676,187,633
hokowhitu,1.0616393999999998,-1.0487897,187,634
hekenga,-0.21605715,0.40065604,186,635
mauri,0.35836756,1.3210977,185,636
hea,-1.8178464,0.45115283,185,637
rāhui,-3.6808195,-0.35780326,185,638
kimi,-2.307415,-0.32534736,184,639
rongoā,-2.3535068,-0.34506398,184,640
hī_ika,-1.685704,2.6971862,183,641
taiao,-2.378223,-2.3441598,183,642
whakarērea,0.50912154,0.21633242,183,643
kapa,0.40823326,-4.150076,183,644
tītokowaru,1.6387602,-0.7954614999999999,183,645
tana_pāpā,3.5898964,-2.0941343,183,646
ngana,-1.839884,-1.3086095,182,647
hono,-0.059833962,-0.41749176,182,648
rīhi,-3.767447,-0.63536036,181,649
nama,-3.7320917,-0.4420663,181,650
maketū,2.580537,2.3861625,181,651
whakaeke,1.0660921,0.18382543,181,652
whakahirahira,-1.3330392,-0.33931717,181,653
nāianei,-0.65514416,-0.44368154,181,654
mēnā,-2.1146665,-0.054679256,180,655
whakamana,-3.3979892999999994,-2.0667224,180,656
tuahine,3.865107,-1.8596666,180,657
kawa,0.40633845,1.1168275,179,658
tiki,-0.46416092,2.143169,179,659
rangihaeata,2.6131203,-0.81737125,179,660
kainga,-1.3302406999999998,2.3445158,178,661
rangahau,-2.7528553,-2.2031605,178,662
rangimārie,0.8971399,-0.884806,177,663
mōrehu,4.4364870000000005,-1.2059857,177,664
mauria,-0.7117710999999999,-0.32197413,176,665
nūpepa,-2.0033956,-4.1045074,176,666
mihi,2.0987778,-2.1053998,176,667
tokowhā,4.5762653,-1.5213299,176,668
kaiwhakawā,-3.9371417,-1.6962819,175,669
mita,-2.5998442,1.0671029,175,670
petihana,-3.9177647000000007,-2.0041137,175,671
kāhui,-0.25460017,-1.159409,175,672
amerika,-0.24265325,1.2917849,174,673
one,-1.1957712,2.966255,174,674
hāngai,-2.1536705,-1.6602415,173,675
karaka,0.57835364,2.2103740000000003,173,676
ahuriri,2.4866266,1.899792,173,677
hōne,3.4294519999999995,-2.333601,173,678
puni,1.6330211,0.74054784,172,679
koroua,3.6518884,-1.1543863,172,680
ngāti_apa,4.057172,0.6295986,172,681
pīhopa,1.8143946,-2.762082,172,682
haria,1.231081,1.0683914,172,683
pirihimana,0.9438813,-1.1171935,172,684
hōhipera,1.0673441,1.6520456,172,685
tupuna,3.6650522,0.24616782,171,686
pūkenga,-1.5322114,-2.6200194,171,687
hia,-3.087596,1.1049762,171,688
kāhore,-1.7174915000000002,-0.5572193,171,689
tātai,3.4170375,0.30007976,171,690
tākuta,-0.48907954,-2.904403,171,691
ōna_mātua,4.089211,-1.2756668,171,692
pōwhiri,0.6023564,-1.9714823,170,693
urewera,2.6379306,3.0072052000000005,170,694
taketake,-2.0776677,-2.6204991,170,695
moenga,4.1013474,-1.2969786,170,696
karapu,0.49113172,-4.363931,169,697
kitenga,-1.0009565,-0.028716017000000007,169,698
mahuta,1.4220761,-2.2736015,169,699
taputapu,-2.1247385,2.4610298,168,700
tāpiri,-1.563097,0.06474749,168,701
paremata,-3.928314,-2.0664613000000003,168,702
ua,2.1438427000000004,-1.3149563,168,703
rima,-3.172393,1.1390821000000002,168,704
pāora,3.096753,-2.520543,168,705
waitaha,2.003473,2.5639732000000004,167,706
toka,1.2001507,2.9043202,167,707
piri,-0.24326666,-1.3009362,167,708
timi_kara,1.2380753999999998,-3.0998185,167,709
ngātahi,-0.47153625,-1.0967569,167,710
akona,-0.7901020000000001,-2.9174078,166,711
kōkiri,-0.116112605,-0.5205584,166,712
parihaka,1.6864303,-0.9018367,166,713
to,-1.6994883,-4.7659125,166,714
māhia,2.6651657,2.3139224,166,715
pūmau,-1.5844056999999998,-1.4873917,165,716
mema_pāremata,0.8289770000000001,-3.3987373999999995,165,717
ōna_hoa,-0.021164985,-1.3897423,165,718
tūpāpaku,1.2700261999999998,1.4328717,165,719
hāpuku,2.310102,-1.5442334,164,720
kahungunu,3.4657497000000004,-0.20293349,164,721
puku,-0.48707238,1.4339541,163,722
pūtea,-3.6453006,-0.88685936,163,723
awe,-1.0192173,-1.2316618,163,724
tuatoru,1.0443747,-2.4434876,162,725
kōtiro,4.445800299999998,-1.4709618,162,726
hākari,0.1455494,0.7441329000000001,161,727
puna,-0.32895988,-0.43493864,161,728
whare_pāremata,0.5992831999999999,-3.3810885,161,729
pire,-3.7832365,-1.8636489,160,730
taunga,-0.4807185000000001,0.45143986,159,731
whai_pānga,3.6983628,0.3972842,159,732
huhua,-1.5777656,-0.03783413,159,733
nunui,-1.7996941999999998,0.27525404,158,734
koha,-0.59694415,-1.5019083999999998,158,735
takahi,-2.632629,-0.66366786,158,736
takutai,1.7881342,2.9402866000000003,158,737
waru,-3.1926494,1.1863699,158,738
waihanga,-1.1889803,-2.2019389,158,739
whakaputaina,-1.9537909,-4.163406,158,740
rānana,0.6683621999999999,-2.2194580000000004,158,741
tānga,-2.1638346,-3.9228508,157,742
whetū,-0.28313372,0.8382464,157,743
rīwai,-2.1094635,2.5006497000000003,157,744
wiki,-2.9022584,1.0564964,157,745
wātea,-1.9600292,-0.06310927,156,746
pakari,-1.8640257,-0.48223546,156,747
ōtaki,2.4271564,1.7925363999999997,156,748
tōtika,-2.481835,-0.64471686,156,749
tai_hauāuru,2.614363,2.7581122,155,750
tautokona,-3.2931175,-2.3925612000000003,155,751
kaitākaro,0.520794,-4.406703500000001,155,752
wero,0.25294253,0.9302271,154,753
whakatōhea,4.082453299999999,0.06411192,154,754
kapa_haka,-0.923679,-3.9757838,154,755
nōhia,-2.6649868,0.04293562,153,756
pikitia,-2.2620862,-3.6166902,153,757
kete,-0.77989227,2.9175518,153,758
pūrongo,-3.6694405,-1.9206727,153,759
poihākena,0.5859645,1.5371324,153,760
ārai,0.3823679,0.44862407,153,761
ngāti_tama,4.0710397,0.6027821999999999,153,762
kaituhi,-1.7984154,-4.050427,153,763
tauhokohoko,-2.2188354,1.6842663,152,764
pai_mārire,1.6250426000000002,-0.9767031,152,765
kuia,3.8671908,-1.1845618,151,766
paenga,1.7339741000000002,2.9802227,151,767
taitama,-0.1987576,-2.0959127,151,768
taku,-1.2064675,0.94643337,150,769
whakaekea,1.2922597,0.35670820000000003,150,770
niupepa,-1.9257824,-4.0528636,150,771
tūmomo,-1.8553759,0.8085505000000001,150,772
hākinakina,0.38810754,-4.3863583,150,773
tūpuna,3.3704863,0.38963854,149,774
rangi_hīroa,1.259468,-3.375606,148,775
puke,1.5171623,2.2937436,148,776
kapiti,1.7855169999999998,2.6549923,148,777
taraipiunara,-3.7842097,-1.7754289,148,778
mārena,3.8193128,-1.3682903,148,779
kō,-1.7121842,0.3660105,147,780
ahuwhenua,-3.1122704,-0.7922254,147,781
mahinga,-1.7463311999999998,0.99967456,147,782
whitu,-3.1762989,1.1506611,147,783
aukati,-2.6072836,-0.65404433,147,784
ātaahua,-1.036671,1.723513,147,785
mātāmua,3.931533,-1.8103809,147,786
mihingare,1.9206203,-2.7877915,147,787
kuraina,0.84448695,-2.6848311,147,788
papatūānuku,3.3748143,-0.40674302,146,789
whakaū,-2.517965,-1.6720831000000005,146,790
ngāi_tūhoe,4.102449,-0.0035686502,146,791
tuawhenua,1.7127017,2.9577854,146,792
ngāti_ruanui,4.107451,0.5902321,146,793
matariki,-0.3410692,0.8902174999999999,145,794
pūrākau,-1.9106977,-2.9608004,145,795
wehi,-1.2273159,-1.254035,145,796
hari,-0.71585155,-0.4222319000000001,145,797
rauru,4.085893,0.5015736,145,798
pūtake,-1.9913433,-2.4443402,144,799
paikea,4.0051365,-1.9114112,144,800
