word,x_coord,y_coord,word_count
karakia,21.70019,-28.082504,476
rongonui,-1.7709688,26.327406,476
tai_tokerau,62.354053,-0.78710544,476
māna,-10.179681,6.9881244,475
hokona,-71.153114,-13.943739,474
pāmu,-8.307235,-63.432213,473
ope,14.445536,12.940495,469
ākarana,-11.190393,28.438122,466
whakamutunga,3.2835886,-4.2544427,465
wairarapa,57.183628,3.9054887,465
moananuiakiwa,3.4098885,-31.404903,463
whare_wānanga,-25.96617,18.398695,463
tuarua,-0.10776351,41.277695,462
iho,-4.985661,-17.700008,461
ngaro,-14.207008,-23.907171,454
pēnei,-10.287942,-22.226694,454
puhi,43.555183,27.636868,451
tahuri,7.7554555,-8.097899,450
whāia,-2.862084,-12.726019,448
papa,35.463818,-44.615,448
tini,-11.730972,-18.976357,447
mihinare,-10.695387,38.896114,445
whakahē,-35.461025,-4.115146,445
ingarangi,-8.95217,26.600197,445
whakaahua,-39.45125,11.395453,444
kōti_whenua_māori,-60.05632,-1.9095149,444
ope_taua,14.553636,13.282975,444
tamaiti,29.222343,46.70656,443
tokomaha,-13.162491,-19.412169,441
āta,-20.31338,-22.059038,440
rerekē,-27.486387,-28.68817,439
ngāi,45.940716,30.400537,439
rauparaha,33.633514,25.350515,437
ara,8.831822,-13.085069,436
nōna,-20.627544,-13.139746,436
kāre,-19.364708,-19.729797,436
noa_iho,-13.533789,-25.224712,433
hoa,-4.1102247,13.8354025,429
kaiārahi,-3.32886,28.23491,429
huarahi,8.601846,-12.694108,428
whakataetae,-26.276823,29.527592,428
tīma,-26.289564,31.187204,428
whiwhi,-23.45073,6.6577225,427
takoto,-8.975301,-5.402671,424
waho,16.629805,-11.107448,422
kōti,-60.23563,-1.7580727,422
raki,56.419582,-11.994165,419
patu,15.802745,-29.761908,419
tatauranga,-20.758184,-40.293774,419
pō,14.580698,-19.411013,418
kerēme,-59.551144,-5.076908,417
kotahitanga,-28.676168,38.31754,417
ngāti_toa,42.351322,23.199974,417
whai_wāhi,-31.966375,-3.7114053,416
tipuna,41.69547,35.482788,415
pōneke,-11.215866,28.24502,413
kaipuke,36.05015,-14.158284,412
tuhi,-45.07677,19.443703,409
tāmakimakaurau,46.70488,11.043286,406
kaimahi,-56.87227,-14.949509,406
kōhatu,12.088596,-48.491,400
whāngai,-0.9575376,22.166368,396
hokinga,6.9750433,-1.1624287,396
kamupene,-42.375072,38.059505,396
iti,-14.985585,-41.03407,395
kaitiaki,-43.69484,-8.614515,395
ikaamāui,61.674118,-12.799911,392
ehara,-18.230478,-19.70365,392
mei,27.48642,8.475571,392
tapaina,7.050755,3.9805698,391
whakarite,-28.191093,2.9233067,388
tūhoe,48.060017,35.228046,388
whakamahi,-42.215496,-40.026405,387
kanohi,-23.24687,45.489162,385
patua,31.482925,-8.904073,384
pānga,-67.781845,-9.739918,384
wiremu,9.301109,51.94082,383
ngāti_kahungunu,50.36902,34.108593,381
hune,27.816916,8.609697,380
whā,3.1054535,-15.302585,377
kore_rawa,-19.060244,-18.397161,377
eke,0.36489445,-9.725677,374
poraka,-69.81983,-11.660692,369
ū,8.07364,-3.57206,369
māngai,-21.853254,46.76613,367
whakapae,-19.834805,-15.760807,366
wehe,11.299233,-4.5875173,366
kākahu,14.6039915,-44.852646,365
āti_awa,41.79928,23.762081,365
otirā,-4.89506,4.197624,362
whakamārama,-44.457405,15.510467,362
pupuri,-12.426806,-28.801691,358
āhei,-18.774763,-28.264381,358
rautau,1.1790172,-6.9635105,358
niu_tīreni,-41.74887,37.886036,352
āiwi,-44.404385,-17.13792,352
ngahere,9.5854435,-65.67835,351
tainui,59.47101,22.721197,351
pou,32.922447,-39.145374,348
ngata,-13.846685,53.89392,347
raruraru,-33.957363,-5.2724686,347
ārahi,-8.72506,12.363936,345
kawe,-13.05718,-0.34402716,345
kaiwhakahaere,-23.199959,42.1529,345
whakahokia,-19.216894,3.3703892,343
whanaunga,42.613285,29.259829,340
kūmara,4.5194683,-54.186268,338
neke_atu,-19.834332,-42.53851,336
mahia,-16.762863,-52.319847,335
poari,-29.509478,42.156048,335
āperira,28.285278,8.24578,335
hawaiki,33.705055,-26.494196,334
pounamu,11.826941,-48.105476,334
tua_atu,-8.642822,-24.385267,333
mārama,-29.118792,-24.836386,333
ngāti_raukawa,41.99611,24.829386,333
tūtaki,6.038304,8.362168,332
oti,-3.0570443,-14.90764,330
tīpuna,33.41682,-25.163397,329
tohutohu,-42.74374,-4.103798,329
piki,-0.04296425,-10.824602,326
pōti,-25.879,47.63515,326
tōrangapū,-52.446064,-23.27786,326
tūnga,-20.901957,40.909485,324
whare_karakia,42.721687,8.836503,322
haki,-11.03563,15.373861,322
tauranga,56.210888,-1.9050201,321
inā,-11.302935,-22.371225,320
tūru,-25.728045,47.593884,320
nuku,12.026209,-5.8076034,319
whakataunga,-59.28725,-5.6236353,317
whakaritea,-21.942196,9.221677,316
pānui,-51.702663,19.388025,316
maehe,28.960617,7.8814354,316
wairua,-35.542828,-24.343946,315
whiti,5.5439005,24.64665,314
hōiho,7.6680455,-38.244133,313
kōrero_tuku_iho,-39.3612,-15.664134,313
kino,-23.543465,-16.187252,312
āpiha,-38.84821,40.16597,311
kaihautū,-3.2805142,28.20337,309
kāwana,7.238345,33.400238,307
whakaaetia,-24.328253,-1.7245665,307
pēpuere,28.083414,7.981141,305
ngāti_maniapoto,39.52514,22.922112,305
māui,36.232452,-25.592339,304
ō,-6.7946687,-23.684904,303
ahitereiria,-24.727114,30.673801,302
kōmihana,-59.04178,-0.49741128,302
whakanui,-13.716839,17.971268,300
ahi,23.202255,-16.242018,300
haka,-36.29233,21.831896,300
hānuere,28.518667,8.575087,300
hūrae,28.939133,9.001218,300
taki,12.590636,11.667219,299
whakatakoto,-48.865765,-8.884457,299
