x_coord,y_coord,word
-0.8860026,-0.7014629,tukuna
4.153877,-0.0049292087,ngāti_porou
-2.752792,0.7071966,rahi
-0.9439553,-2.95607,ako
-2.9715688,-1.4666547,whakatau
0.47463277,1.2492331,atua
1.1987005,-2.1226199,kīngitanga
-3.1758091,1.1501108,toru
4.4974895,-1.5670398,tokorua
-0.43172002,0.0054499246,huri
-2.3507729,-1.921899,āhuatanga
0.0045919456,-1.1897244,mōna
-0.2435494,0.42748633,haerenga
-0.23901448,-1.0652013,ētehi
3.9450958,-1.4444565,matenga
-1.8052671,0.0028240124,engari
-0.4227732,0.012456187,taka
2.525832,2.3787508,whanganui
1.486707,-2.2636724,kīngi
1.4632615,-3.248887,whakapono
0.4569605,-4.41874,tākaro
0.9642279,0.34134123,hinga
-0.91855645,-0.09818966,koia
-1.5175428,-0.19096725,whānui
1.2794777,2.6278913,maunga
1.7298604,-0.8285557,kooti
-1.0101062,0.057505753,nāwai
2.8091848,2.2890048,tai_rāwhiti
-1.1707093,0.022883661,koinei
-0.309885,0.2457297,tīmatanga
-0.79340833,-1.0544956,tukua
-0.45708185,-0.5815498,mōhiotia
-1.4742023,2.489092,ika
2.156689,1.8452328,rotorua
4.133005,-1.3394725,mahue
-0.42555726,0.09743228,mutunga
0.10654879,-3.4479609,komiti
-0.39970338,-1.5200634,hangaia
-2.052905,-2.4541075,tūturu
0.106135376,-3.46219,kaunihera
1.8987716,1.823165,whanganuiatara
-1.4971343,-1.2633508,tiaki
-2.0867312,1.2559314,whakamahia
4.215898,-1.2125081,kaumātua
0.6064669,-3.3480625,pāremata
0.4104897,1.1746716,karakia
0.8387069,-2.0874557,rongonui
2.6733606,2.529652,tai_tokerau
-0.49914175,-1.1222432,māna
-3.5258489,-0.33109227,hokona
-2.4508097,2.120681,pāmu
1.1774954,-0.041548718,ope
2.1293085,1.6602807,ākarana
-0.3017694,0.14943923,whakamutunga
2.725386,2.2558968,wairarapa
-0.2816765,1.4182534,moananuiakiwa
-0.52045435,-2.6980631,whare_wānanga
1.0544251,-2.4439268,tuarua
-1.3350945,0.30677313,iho
-1.42158,0.15491909,ngaro
-1.604019,0.44372416,pēnei
3.93514,0.17609257,puhi
-0.6729826,-0.14400372,tahuri
-0.73089963,0.0015255403,whāia
-0.08846718,3.0917144,papa
-1.2419643,0.278732,tini
1.8965322,-2.7186472,mihinare
-2.5285068,-1.4332422,whakahē
0.3769806,-2.394363,ingarangi
-2.2693,-3.5843022,whakaahua
-4.0383744,-1.6664449,kōti_whenua_māori
1.0887064,-0.81590885,ope_taua
4.106088,-1.2953444,tamaiti
-1.7542899,0.12011845,tokomaha
-1.7756841,-0.5715674,āta
-2.3081722,-1.3447015,rerekē
3.9995239,0.0034583176,ngāi
2.625074,-0.71656024,rauparaha
-0.926763,0.066948585,ara
-0.86056167,-1.3898771,nōna
-1.7551193,-0.37682018,kāre
-2.4559965,0.5244831,noa_iho
-0.29849926,-1.4651915,hoa
1.0851471,-2.2203496,kaiārahi
-1.8964437,-0.13660392,huarahi
0.56475866,-4.3105607,whakataetae
0.5841836,-4.3327055,tīma
-0.9211031,-1.2782109,whiwhi
-0.9546304,-0.124336444,takoto
-0.455978,0.04905722,waho
-3.9025004,-1.6642833,kōti
2.1708567,2.9748354,raki
-0.7446787,1.7672704,patu
-2.9262235,0.4139558,tatauranga
-0.57770413,1.0979779,pō
-3.8069293,-1.4704005,kerēme
0.38652936,-3.3205712,kotahitanga
4.065819,0.5901963,ngāti_toa
-2.2722542,-1.6737893,whai_wāhi
3.5847003,0.29734728,tipuna
0.5111597,-2.197671,pōneke
0.72182053,1.9827495,kaipuke
-1.7535545,-4.194751,tuhi
1.9273602,1.7003744,tāmakimakaurau
-2.9376266,-1.0613371,kaimahi
-1.1465365,2.9058762,kōhatu
4.2500534,-1.2314358,whāngai
-0.21296182,0.40137437,hokinga
0.1271354,-2.5277395,kamupene
-2.2127895,0.7076434,iti
-1.4426078,-1.4132149,kaitiaki
1.9898521,2.7053387,ikaamāui
-1.8701774,-0.64454526,ehara
1.1573646,-0.5759053,mei
-0.29083842,-0.55307883,tapaina
-2.2756655,-1.3561282,whakarite
4.0011244,0.09570849,tūhoe
-2.1797898,0.084466636,whakamahi
0.60978633,-3.0559974,kanohi
1.4568545,0.19885463,patua
-3.8004372,-0.7175009,pānga
2.793138,-2.4709818,wiremu
4.10009,-0.079159066,ngāti_kahungunu
1.187947,-0.57228845,hune
-3.1818702,1.1517445,whā
-1.6106032,-0.66650844,kore_rawa
-0.38209283,0.06186269,eke
-3.7379396,-0.254393,poraka
-0.5897246,0.22820194,ū
0.72173226,-3.2096891,māngai
-1.6602031,-0.7093415,whakapae
-0.1336557,0.010415466,wehe
-0.9200519,2.387877,kākahu
4.1428375,0.58961546,āti_awa
-0.92173564,-0.73576343,otirā
-2.0592768,-3.7106864,whakamārama
-1.8783569,0.053720314,pupuri
-2.0054598,-0.19967708,āhei
-0.7295192,0.42466247,rautau
0.20092328,-2.5439823,niu_tīreni
-2.4764569,-2.4279451,āiwi
-1.6735324,3.3788958,ngahere
3.4109871,1.0324,tainui
0.052226007,2.5914457,pou
1.3435488,-3.4137983,ngata
-2.5306163,-1.2327372,raruraru
-0.31096286,-0.8208274,ārahi
-0.9374739,-0.27098337,kawe
0.31186467,-3.0181162,kaiwhakahaere
-0.90414995,-0.40191567,whakahokia
4.022957,-0.4800884,whanaunga
-1.5505512,2.585626,kūmara
-3.0759048,0.7174002,neke_atu
-1.8197097,2.0392506,mahia
0.13053584,-3.4778414,poari
1.1754729,-0.5254025,āperira
0.24389376,1.6777902,hawaiki
-1.0793618,2.7975633,pounamu
-1.6601733,0.1521907,tua_atu
-1.7480547,-1.8882114,mārama
4.073002,0.4764129,ngāti_raukawa
0.27429265,-0.8434091,tūtaki
-0.9731408,0.11125175,oti
3.1394029,0.35535777,tīpuna
-1.8298001,-1.9667507,tohutohu
-0.5593675,0.10520702,piki
0.61245435,-3.4428902,pōti
-2.7121162,-1.8058077,tōrangapū
0.24398614,-2.2169092,tūnga
1.8296288,1.5462307,whare_karakia
0.31786856,-2.0127378,haki
2.6928804,2.3534312,tauranga
-1.5250196,0.22840248,inā
0.64974725,-3.5015786,tūru
-0.041493785,0.022429474,nuku
-3.7391539,-1.6898885,whakataunga
-0.52216023,-1.3589433,whakaritea
-1.9765762,-4.016254,pānui
1.2591499,-0.4682115,maehe
-1.6185172,-2.4938922,wairua
0.9896412,-1.0027941,whiti
-2.2495358,2.0922828,hōiho
-1.9308841,-2.8365889,kōrero_tuku_iho
-1.8345202,0.09954667,kino
0.089150086,-2.4557154,āpiha
1.1885095,-2.125039,kaihautū
1.57135,-1.9227197,kāwana
-1.8190979,-1.118243,whakaaetia
1.1775799,-0.54959446,pēpuere
3.9846537,0.5011549,ngāti_maniapoto
0.25806913,1.6719044,māui
-1.586261,0.43483245,ō
0.5016525,-4.2275076,ahitereiria
-3.8979669,-1.7549007,kōmihana
0.18850891,-2.0486522,whakanui
0.13717668,1.2024176,ahi
-0.8825399,-3.7088897,haka
1.1827703,-0.56305635,hānuere
1.2091544,-0.5103028,hūrae
0.39950198,-0.46219376,taki
-2.9099684,-1.8589298,whakatakoto
2.6422787,2.4292774,hokianga
-0.36575323,0.1833936,tae_noa
1.7713577,2.9633853,whanga
4.0669885,-1.5137621,mokopuna
1.1889062,-0.5057288,noema
3.7887344,-1.1964142,tō_rāua
-1.9218001,-2.364907,hononga
0.5706472,0.58514553,hoariri
1.6648465,-3.1753323,karaitiana
-0.72573864,0.9052997,tāwāhi
1.978147,2.6281033,waipounamu
1.159159,-0.56105435,oketopa
1.1660477,-0.5805578,tīhema
4.536899,-1.5568222,tokotoru
-0.30857804,-2.8148854,kāreti
1.146847,-2.4775112,puea
-1.687677,-2.6765873,tawhito
-1.9794918,-3.9948933,tuhinga
-0.28434938,-1.0283772,tonoa
-1.6207755,2.7505085,tuna
3.7718432,-1.9448733,tuakana
-1.2599353,0.017267145,tere
-0.7288526,2.0865273,tinana
-0.2561652,-1.4093558,aroha
1.6170889,-1.8939514,tāwhiao
-2.9467502,0.46464172,ōrau
-2.8957298,-1.4712673,hauora
-2.0022035,-1.3357037,titiro
2.6880388,2.158098,matauamāui
-2.0243413,-1.4129124,aro
-1.6899426,-0.1372212,hāunga
-1.2904189,2.4251575,tohorā
1.3146508,-2.2677398,kuini
-2.040463,1.7335641,hokohoko
3.9791958,-1.4326457,tōna_whaea
-2.4212482,-0.6527486,oranga
-0.038098488,-0.6877834,karanga
-2.9133897,-1.5408926,hapori
-0.004229846,-3.1823483,rūnanga
-1.0682632,0.6899386,nga
2.6596832,2.3810754,pēwhairangi
-0.19330238,-0.026387602,whakawhiti
2.8097816,1.9573889,heretaunga
-2.2938201,-0.2094251,uaua
-2.1371212,1.9111764,kau
2.0774188,2.9946897,rāwhiti
-1.1292404,0.5200855,puta_noa
4.131538,0.31015158,ngāpuhi
2.3643696,2.329676,tāmaki
1.8343296,2.8521633,wai_pounamu
1.3637038,2.7735353,tai
-0.86658984,0.9832624,tangi
-1.1906767,2.3280163,kurī
1.1740817,-0.5284513,hepetema
1.5932034,-0.7480406,hauhau
2.345512,3.0041895,taupō
0.12688324,1.9266835,taniwha
2.2604024,-1.1103922,na
-1.4616599,2.3217947,kiore
1.6243253,1.682935,pokapū
-0.9007427,-0.5445634,tangohia
-1.9269159,-1.5247074,whakahau
1.4224011,-2.291874,rata
0.49957693,-2.9106505,toko
-1.3359251,0.16161583,waiho
-0.75998336,2.0036688,ringa
-0.86689025,-0.57065326,kētia
0.18869571,-2.607817,peretānia
-4.027033,-2.0590994,haina
2.6227758,2.0935237,wairoa
1.1693887,-0.5416533,ākuhata
-1.574211,-0.3383352,hōu
0.58185613,-0.26765075,tira
-1.2881303,0.25896683,ina
-0.7081614,-0.5883294,tonutia
0.12871218,-1.636681,kāti
-0.28821594,-2.820875,aute
1.0765901,2.798689,tawhiti
1.406394,2.9929953,uta
3.8019912,-1.6276686,moea
-1.8511934,2.0989032,whakatipu
-0.65154046,-0.52872807,tērā_pea
-0.7036402,-3.3821793,whare_taonga
0.3363789,0.04280844,waenga
-0.13788089,-2.288298,whakawhiwhia
2.3062062,-1.2006636,pōmare
-3.3825607,-0.66837585,raupatu
-1.1301656,-3.9631155,whakaari
-2.1781008,0.46396723,pau
3.6555243,-0.09416783,ariki
1.6557387,1.5700622,urupā
-0.9616395,-0.88420445,hoatu
0.12003949,0.31437644,manuhiri
-1.2324891,0.95463586,au
1.9860563,2.1383336,pātata
-0.6521521,0.110455416,putanga
-1.9653127,-0.7400644,hē
-2.012975,-1.1813511,tutuki
-2.8968523,0.40695295,taupori
3.7957177,0.059978127,ngāti_tūwharetoa
4.0135527,-1.5373716,whaea
3.7157676,-1.9228736,tōna_pāpā
-0.7945969,-0.15549825,whakatika
-3.687275,-0.19972792,eka
-2.6014578,-2.1778817,motuhake
4.184882,0.4131639,ngāti_whātua
-1.7425078,2.1059082,hopu
2.9710941,-2.5778162,hēnare
-1.0423281,-2.6324365,wānanga
-3.8478272,-0.5116566,£
-1.2096572,0.948378,koe
0.019003037,-3.4834487,ārohe
-1.4590213,-1.5294713,manaaki
-2.2408316,-3.9474204,moko
0.6410182,1.9258722,peka
-2.2759402,-0.8068068,whakaora
-0.81353563,-2.9438553,whakaako
-1.095648,-1.5007827,whakauru
-1.7838342,-3.8010347,tuhituhi
1.0672565,-3.504671,āpirana_ngata
2.6280768,2.2530081,whakatāne
2.6423035,-2.6274352,hoani
-2.111298,-0.31773326,tauiwi
-2.102033,-0.58960956,ōrite
-1.2897333,-0.007844335,rārangi
1.7086573,-1.8983513,kāpene
1.6573755,-2.6689079,poropiti
0.04579498,-0.028108789,tupu
-1.3816541,-0.16186151,waihoki
4.2609506,-1.3277316,mātua
-0.14668043,0.13688648,pakanga_tuarua
4.083482,0.5955715,rangitāne
1.7527102,-1.7672404,wherowhero
0.502539,0.9087222,tangihanga
-1.5057656,-3.7335706,whakaaturanga
0.0005243623,-3.2926705,uniana
-1.441072,3.1984591,māra
1.8750435,-2.7982335,mīhana
0.33733043,-3.0871043,tumuaki
-0.98314595,-3.4533963,whaikōrero
2.0242312,2.4838088,ōtākou
-0.122393884,-1.7674063,tohua
0.356511,-3.1013114,hēkeretari
-0.9190417,-3.3591683,whakarongo
-1.419093,3.0528307,harakeke
0.60526484,-0.61863106,muri_iho
-1.5799233,-0.80079067,kia_kaua
3.7660978,-1.7858819,teina
-2.136695,-4.0492506,tāia
-3.8300066,-0.58929414,utua
-1.0229309,-0.29825643,whakahoki
-0.7348885,-0.15428206,kawea
0.01935317,-0.07610655,toro
-1.4487783,-1.0535487,whakamātau
1.0281284,2.5034723,pae
-1.9375366,-1.3429577,tohe
0.0067209033,0.0029578826,neke
-2.153035,2.4843636,kararehe
3.2413664,1.6854184,kāwhia
-0.16128907,-0.85414493,karangatia
-1.5493957,-3.6267118,hōtaka
-0.55631816,2.1616185,pito
-1.6722783,0.4567268,māmā
-3.1882493,1.1359884,ono
0.15684524,2.8972645,wharenui
-1.8484347,-4.089102,whakaputa
-0.824379,-1.0731636,inarā
0.50358105,1.7277097,kupe
-1.3725396,-0.2648625,tango
0.34530446,-0.9000755,ō_rātau
-2.4136782,-0.87956166,painga
2.803685,2.4696786,hauraki
3.9669628,0.1005797,ngāti_awa
-2.2573879,-0.32003176,rapu
-0.33324808,-0.07790343,kuhu
1.1273173,-2.8464,pirimia
-1.5707002,-0.6408084,mehemea
-1.7754602,-4.704943,maori
3.7595181,-2.0926342,mere
-3.870268,-1.0361099,hokonga
0.3905562,-3.2340212,tiamana
-2.0576158,-4.0826044,tuhia
-0.2360906,0.3509035,wehenga
-0.48500714,-2.5521586,rangatahi
-1.2088343,-1.7937638,ngākau
-4.0453176,-1.9259473,aroaro
-1.9703704,-4.159763,reta
-0.10068349,-0.13618158,hīkoi
2.3754508,-2.941489,eruera
0.39296508,-0.99555457,tō_rātau
-0.97958356,2.795511,kiri
-3.8780394,-0.8981129,taitara
-1.7199444,-0.17388655,here
-2.336502,-1.8524436,whakakotahi
-0.61667746,2.4885387,kōiwi
1.8950502,-1.7266068,mākarini
-0.61869276,-2.4267676,taumata
1.0616394,-1.0487897,hokowhitu
-0.21605715,0.40065604,hekenga
0.35836756,1.3210977,mauri
-1.8178464,0.45115283,hea
-3.6808195,-0.35780326,rāhui
-2.307415,-0.32534736,kimi
-2.3535068,-0.34506398,rongoā
-1.685704,2.6971862,hī_ika
-2.378223,-2.3441598,taiao
0.50912154,0.21633242,whakarērea
0.40823326,-4.150076,kapa
1.6387602,-0.7954615,tītokowaru
3.5898964,-2.0941343,tana_pāpā
-1.839884,-1.3086095,ngana
-0.059833962,-0.41749176,hono
-3.767447,-0.63536036,rīhi
-3.7320917,-0.4420663,nama
2.580537,2.3861625,maketū
1.0660921,0.18382543,whakaeke
-1.3330392,-0.33931717,whakahirahira
-0.65514416,-0.44368154,nāianei
-2.1146665,-0.054679256,mēnā
-3.3979893,-2.0667224,whakamana
3.865107,-1.8596666,tuahine
0.40633845,1.1168275,kawa
-0.46416092,2.143169,tiki
2.6131203,-0.81737125,rangihaeata
-1.3302407,2.3445158,kainga
-2.7528553,-2.2031605,rangahau
0.8971399,-0.884806,rangimārie
4.436487,-1.2059857,mōrehu
-0.7117711,-0.32197413,mauria
-2.0033956,-4.1045074,nūpepa
2.0987778,-2.1053998,mihi
4.5762653,-1.5213299,tokowhā
-3.9371417,-1.6962819,kaiwhakawā
-2.5998442,1.0671029,mita
-3.9177647,-2.0041137,petihana
-0.25460017,-1.159409,kāhui
-0.24265325,1.2917849,amerika
-1.1957712,2.966255,one
-2.1536705,-1.6602415,hāngai
0.57835364,2.210374,karaka
2.4866266,1.899792,ahuriri
3.429452,-2.333601,hōne
1.6330211,0.74054784,puni
3.6518884,-1.1543863,koroua
4.057172,0.6295986,ngāti_apa
1.8143946,-2.762082,pīhopa
1.231081,1.0683914,haria
0.9438813,-1.1171935,pirihimana
1.0673441,1.6520456,hōhipera
3.6650522,0.24616782,tupuna
-1.5322114,-2.6200194,pūkenga
-3.087596,1.1049762,hia
-1.7174915,-0.5572193,kāhore
3.4170375,0.30007976,tātai
-0.48907954,-2.904403,tākuta
4.089211,-1.2756668,ōna_mātua
0.6023564,-1.9714823,pōwhiri
2.6379306,3.0072052,urewera
-2.0776677,-2.6204991,taketake
4.1013474,-1.2969786,moenga
0.49113172,-4.363931,karapu
-1.0009565,-0.028716017,kitenga
1.4220761,-2.2736015,mahuta
-2.1247385,2.4610298,taputapu
-1.563097,0.06474749,tāpiri
-3.928314,-2.0664613,paremata
2.1438427,-1.3149563,ua
-3.172393,1.1390821,rima
3.096753,-2.520543,pāora
2.003473,2.5639732,waitaha
1.2001507,2.9043202,toka
-0.24326666,-1.3009362,piri
1.2380754,-3.0998185,timi_kara
-0.47153625,-1.0967569,ngātahi
-0.790102,-2.9174078,akona
-0.116112605,-0.5205584,kōkiri
1.6864303,-0.9018367,parihaka
-1.6994883,-4.7659125,to
2.6651657,2.3139224,māhia
-1.5844057,-1.4873917,pūmau
0.828977,-3.3987374,mema_pāremata
-0.021164985,-1.3897423,ōna_hoa
1.2700262,1.4328717,tūpāpaku
2.310102,-1.5442334,hāpuku
3.4657497,-0.20293349,kahungunu
-0.48707238,1.4339541,puku
-3.6453006,-0.88685936,pūtea
-1.0192173,-1.2316618,awe
1.0443747,-2.4434876,tuatoru
4.4458003,-1.4709618,kōtiro
0.1455494,0.7441329,hākari
-0.32895988,-0.43493864,puna
0.5992832,-3.3810885,whare_pāremata
-3.7832365,-1.8636489,pire
-0.4807185,0.45143986,taunga
3.6983628,0.3972842,whai_pānga
-1.5777656,-0.03783413,huhua
-1.7996942,0.27525404,nunui
-0.59694415,-1.5019084,koha
-2.632629,-0.66366786,takahi
1.7881342,2.9402866,takutai
-3.1926494,1.1863699,waru
-1.1889803,-2.2019389,waihanga
-1.9537909,-4.163406,whakaputaina
0.6683622,-2.219458,rānana
-2.1638346,-3.9228508,tānga
-0.28313372,0.8382464,whetū
-2.1094635,2.5006497,rīwai
-2.9022584,1.0564964,wiki
-1.9600292,-0.06310927,wātea
-1.8640257,-0.48223546,pakari
2.4271564,1.7925364,ōtaki
-2.481835,-0.64471686,tōtika
2.614363,2.7581122,tai_hauāuru
-3.2931175,-2.3925612,tautokona
0.520794,-4.4067035,kaitākaro
0.25294253,0.9302271,wero
4.0824533,0.06411192,whakatōhea
-0.923679,-3.9757838,kapa_haka
-2.6649868,0.04293562,nōhia
-2.2620862,-3.6166902,pikitia
-0.77989227,2.9175518,kete
-3.6694405,-1.9206727,pūrongo
0.5859645,1.5371324,poihākena
0.3823679,0.44862407,ārai
4.0710397,0.6027822,ngāti_tama
-1.7984154,-4.050427,kaituhi
-2.2188354,1.6842663,tauhokohoko
1.6250426,-0.9767031,pai_mārire
3.8671908,-1.1845618,kuia
1.7339741,2.9802227,paenga
-0.1987576,-2.0959127,taitama
-1.2064675,0.94643337,taku
1.2922597,0.3567082,whakaekea
-1.9257824,-4.0528636,niupepa
-1.8553759,0.8085505,tūmomo
0.38810754,-4.3863583,hākinakina
3.3704863,0.38963854,tūpuna
1.259468,-3.375606,rangi_hīroa
1.5171623,2.2937436,puke
1.785517,2.6549923,kapiti
